Time [s],crank,cam,Channel 2
12.893264000,0,1,1
12.901525000,1,1,1
12.915153500,1,1,0
12.923666500,0,1,0
12.928413000,0,0,0
12.935106500,1,0,0
12.940297000,1,0,1
12.959892500,0,0,1
12.966577000,0,1,1
12.971225500,1,1,1
12.993340000,0,1,1
13.001772500,1,1,1
13.013694500,0,1,1
13.020905000,1,1,1
13.031939000,0,1,1
13.039215000,1,1,1
13.052315500,0,1,1
13.060739000,1,1,1
13.076902000,1,1,0
13.083531500,0,1,0
13.089346000,0,0,0
13.094263000,1,0,0
13.100925000,1,0,1
13.120838500,0,0,1
13.126958500,0,1,1
13.132423500,1,1,1
13.153874500,1,0,1
13.154740500,0,0,1
13.158989500,1,0,1
13.162105000,0,0,1
13.164356500,0,1,1
13.168249000,1,1,1
13.174710000,0,1,1
13.181226000,1,1,1
13.192352000,0,1,1
13.199425500,1,1,1
13.211911000,0,1,1
13.220148000,1,1,1
13.234577000,1,1,0
13.242412000,0,1,0
13.247525500,0,0,0
13.253836500,1,0,0
13.259533500,1,0,1
13.279695000,0,0,1
13.286062500,0,1,1
13.291471500,1,1,1
13.313896500,0,1,1
13.322339000,1,1,1
13.333473500,0,1,1
13.340505000,1,1,1
13.350561500,0,1,1
13.357513000,1,1,1
13.369005500,0,1,1
13.376688500,1,1,1
13.387638000,1,1,0
13.395648500,0,1,0
13.402399500,0,0,0
13.406515000,1,0,0
13.412999000,1,0,1
13.432541500,0,0,1
13.438656500,0,1,1
13.443933500,1,1,1
13.466088500,0,1,1
13.470379500,1,1,1
13.473546500,0,1,1
13.479801000,1,1,1
13.486469500,0,1,1
13.493086000,1,1,1
13.504641500,0,1,1
13.511841000,1,1,1
13.524859000,0,1,1
13.533270500,1,1,1
13.547751500,1,1,0
13.555513000,0,1,0
13.560638000,0,0,0
13.566451000,1,0,0
13.572185500,1,0,1
13.592231000,0,0,1
13.598539500,0,1,1
13.603742000,1,1,1
13.625803500,0,1,1
13.634343500,1,1,1
13.646331000,0,1,1
13.653589000,1,1,1
13.664717500,0,1,1
13.672023500,1,1,1
13.685325500,0,1,1
13.693835500,1,1,1
13.710415000,1,1,0
13.716649500,0,1,0
13.722941000,0,0,0
13.727243000,1,0,0
13.734256500,1,0,1
13.754096500,0,0,1
13.760199000,0,1,1
13.765711500,1,1,1
13.787165500,1,0,1
13.787992500,0,0,1
13.792220500,1,0,1
13.795333500,0,0,1
13.797629000,0,1,1
13.801471000,1,1,1
13.807930000,0,1,1
13.814437000,1,1,1
13.825595500,0,1,1
13.832692000,1,1,1
13.845199500,0,1,1
13.853442500,1,1,1
13.868026500,1,1,0
13.875660000,0,1,0
13.880984500,0,0,0
13.886923000,1,0,0
13.892832500,1,0,1
13.913309000,0,0,1
13.919859500,0,1,1
13.925500500,1,1,1
13.949517000,0,1,1
13.958119500,1,1,1
13.969489000,0,1,1
13.976563500,1,1,1
13.986729500,0,1,1
13.993697500,1,1,1
14.005249500,0,1,1
14.012941500,1,1,1
14.023922500,1,1,0
14.031894500,0,1,0
14.044443000,0,0,0
14.053273000,0,1,0
14.060935000,1,1,0
14.074747500,1,1,1
14.075831000,0,1,1
14.097086000,1,1,1
14.105736000,0,1,1
14.126131500,1,1,1
14.136393000,0,1,1
14.206198500,1,1,1
14.223936500,0,1,1
14.237269000,1,1,1
14.275096500,0,1,1
14.300989500,1,1,1
14.316198000,0,1,1
14.338455500,1,1,1
14.366372000,0,1,1
15.339520000,0,1,1
