Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.832569500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832569750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.832571250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.832571500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.833655500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.835338000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.836974000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.838632750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.840268000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.841936500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.843586750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.845277500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.846944000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.848671500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.850372750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.852121000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.853863000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.855661000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.857444000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.859284250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.861111750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.862999000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.864890500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.866837250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.868810500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.870846500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.872884000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.874989750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.877018250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.878971250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.880839500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.882773500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.884750500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.886832250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.888916500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.890961500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.892886750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.894824750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.896792500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.898850250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.900932750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.903061250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.905130750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.907198000000000, 0, 1, 1, 1, 1, 1, 1, 1
